count	class	samples
182	flex	<div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.flex.items-center.gap-3> "Logoipsum" | <a.flex.h-8.w-auto.items-center.md:h-9> "Logoipsum" | <div.flex.items-center.gap-x-2> "Logoipsum"
156	items-center	<div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.flex.items-center.gap-3> "Logoipsum" | <a.flex.h-8.w-auto.items-center.md:h-9> "Logoipsum" | <div.flex.items-center.gap-x-2> "Logoipsum"
120	cursor-pointer	<a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account"
86	transition-colors	<a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account"
84	justify-center	<div.!min-h-9.!min-w-9.flex.items-center.justify-center.rounded-lg.bg-emerald-500> | <div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <div.relative.flex.items-center.justify-center.rounded-md.border-0.lg:border.border-solid> | <div.relative.flex.items-center.justify-center.rounded-md.lg:h-11.lg:w-11.text-white>
75	w-full	<div.w-full.px-4.md:px-6.lg:px-8.pt-2.md:pt-3> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border>
69	rounded-full	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones"
68	transition-all	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <label.group.relative.max-w-fit.touch-none.tap-highlight-transparent.select-none.flex.size-9> | <button.flex.items-center.gap-2.px-4.py-2.5.rounded-full.border.transition-all> "Filters" | <button.flex.items-center.gap-2.px-3.sm:px-4.py-2.sm:py-2.5.rounded-full> "From A-Z"
63	dark:text-neutral-300	<button.flex.items-center.gap-2.px-4.py-2.5.rounded-full.border.transition-all> "Filters" | <button.flex.items-center.gap-2.px-3.sm:px-4.py-2.sm:py-2.5.rounded-full> "From A-Z" | <button.w-full.flex.items-center.justify-between.px-3.sm:px-4.py-2.5.sm:py-3> "From Z-A" | <button.w-full.flex.items-center.justify-between.px-3.sm:px-4.py-2.5.sm:py-3> "Newest First"
58	text-sm	<p.text-sm.font-semibold.text-neutral-300> "Logoipsum" | <ul.hidden.gap-0.5.text-sm.md:flex.items-center> "AllSmartphonesHeadphonesEntertainmentAppliances" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <input.input.w-full.rounded-xl.border.border-neutral-700.bg-neutral-800.py-2.pl-4>
